source_country,non_stereotype,stereotype,unsure,mean_offensive_score,identity,attribute,row_count,translated_identity,translated_attribute_list,identity_country_name
Brazil,0,3,0,2.5,Brazil,O Brasil é conhecido pelo samba.,604,Brazil,O Brasil é conhecido pelo samba.,Brazil
Brazil,0,3,0,2.5,Colombia,Música ,604,Colombia,Música ,Colombia
Brazil,0,3,0,2.5,Brazil,Diversidade,604,Brazil,Diversidade,Brazil
Brazil,0,3,0,2.5,Greece,Jogos olímpicos ,604,Greece,Jogos olímpicos ,Greece
Brazil,0,3,0,2.5,India,Colores; danza; religión; cine; Taj Majhal,604,India,Colores; danza; religión; cine; Taj Majhal,India
Brazil,0,3,0,2.5,Brazil,Carnaval,604,Brazil,Carnaval,Brazil
Brazil,0,3,0,2.5,Brazil, futebol,604,Brazil, futebol,Brazil
Brazil,0,3,0,2.5,Brazil, cultura,604,Brazil, cultura,Brazil
Brazil,0,3,0,2.5,Brazil, cinema,604,Brazil, cinema,Brazil
Brazil,0,3,0,2.5,Brazil, português,604,Brazil, português,Brazil
Brazil,0,3,0,2.5,Brazil, Cristo redentor ,604,Brazil, Cristo redentor ,Brazil
Brazil,0,3,0,2.5,Brazil,Carnaval ,604,Brazil,Carnaval ,Brazil
Brazil,0,3,0,2.5,Japan,Diversidade ,604,Japan,Diversidade ,Japan
Brazil,0,3,0,2.5,Brazil,Samba,604,Brazil,Samba,Brazil
Brazil,0,3,0,2.5,Brazil, futebol,604,Brazil, futebol,Brazil
Brazil,0,3,0,2.5,Brazil, pão de queijo,604,Brazil, pão de queijo,Brazil
Brazil,0,3,0,2.5,Brazil, brigadeiro,604,Brazil, brigadeiro,Brazil
Brazil,0,3,0,2.5,Brazil, Cristo redentor,604,Brazil, Cristo redentor,Brazil
Brazil,0,3,0,2.5,Brazil, receptibilidade,604,Brazil, receptibilidade,Brazil
Brazil,0,3,0,2.5,Brazil, diversidade,604,Brazil, diversidade,Brazil
Brazil,0,3,0,2.5,Brazil,Amazônia,604,Brazil,Amazônia,Brazil
Brazil,0,3,0,2.5,Colombia,Comida saudável ,604,Colombia,Comida saudável ,Colombia
Brazil,0,3,0,2.5,Uruguay,São um povo feliz,604,Uruguay,São um povo feliz,Uruguay
Brazil,0,3,0,2.5,Japan,Comida,604,Japan,Comida,Japan
Brazil,0,3,0,2.5,Japan, cultura,604,Japan, cultura,Japan
Brazil,0,3,0,2.5,Japan, japonês,604,Japan, japonês,Japan
Brazil,0,3,0,2.5,Colombia,Shakira; Flores; champeta; amazonia; Gabriel García Márquez,604,Colombia,Shakira; Flores; champeta; amazonia; Gabriel García Márquez,Colombia
Brazil,0,3,0,2.5,Brazil,Cultura do futebol,604,Brazil,Cultura do futebol,Brazil
Mexico,0,3,0,2.5,Mexico,festejar a los muertos,38,Mexico,festejar a los muertos,Mexico
Brazil,0,3,0,2.5,Brazil,Samba,604,Brazil,Samba,Brazil
Brazil,0,3,0,2.5,Argentina,Boa carne vermelha ,604,Argentina,Boa carne vermelha ,Argentina
Brazil,0,3,0,2.5,Argentina,Maradona,604,Argentina,Maradona,Argentina
Brazil,0,3,0,2.5,Argentina,Belo jogo,604,Argentina,Belo jogo,Argentina
Brazil,0,3,0,2.5,Brazil,Praia,604,Brazil,Praia,Brazil
Brazil,0,3,0,2.5,Brazil,Danças típicas,604,Brazil,Danças típicas,Brazil
Brazil,0,3,0,2.5,Brazil,Feijoada,604,Brazil,Feijoada,Brazil
Brazil,0,3,0,2.5,Japan,Vivem em função do país ,604,Japan,Vivem em função do país ,Japan
Brazil,0,3,0,2.5,Brazil,Diversidad musical,604,Brazil,Diversidad musical,Brazil
Brazil,0,3,0,2.5,Argentina,Futebol,604,Argentina,Futebol,Argentina
Brazil,0,3,0,2.5,Argentina, messi,604,Argentina, messi,Argentina
Brazil,0,3,0,2.5,Argentina, Mafalda,604,Argentina, Mafalda,Argentina
Brazil,0,3,0,2.5,Argentina, alfajor,604,Argentina, alfajor,Argentina
Mexico,0,3,0,2.5,Germany,mujeres kinder kuche kirche,38,Germany,mujeres kinder kuche kirche,Germany
Brazil,0,3,0,2.5,Russia,Vodka,604,Russia,Vodka,Russia
Brazil,0,3,0,2.5,Mexico,Comida,604,Mexico,Comida,Mexico
Brazil,0,3,0,2.5,Brazil,Comidas diversas ,604,Brazil,Comidas diversas ,Brazil
Brazil,0,3,0,2.5,Venezuela,Crisis política; petroleo; Andrés Bello; biblioteca Ayacucho; Maduro,604,Venezuela,Crisis política; petroleo; Andrés Bello; biblioteca Ayacucho; Maduro,Venezuela
Brazil,0,3,0,2.5,Cabo Verde,português,604,Cabo Verde,português,Cabo Verde
Brazil,0,3,0,2.5,Central African Republic,bandeira colorida,604,Central African Republic,bandeira colorida,Central African Republic
Mexico,0,3,0,2.5,Costa Rica,En Costa Rica hay sol,38,Costa Rica,En Costa Rica hay sol,Costa Rica
Brazil,0,3,0,2.5,Brazil,Comida saudável ,604,Brazil,Comida saudável ,Brazil
France,0,3,0,2.5,Israel,Genocidio palestino,39,Israel,Genocidio palestino,Israel
Brazil,0,3,0,2.5,Japan,Sushi ,604,Japan,Sushi ,Japan
Brazil,0,3,0,2.5,Brazil,Diversidad cultural ,604,Brazil,Diversidad cultural ,Brazil
Brazil,0,3,0,2.5,Norway,São pescadores excelentes ,604,Norway,São pescadores excelentes ,Norway
Brazil,0,3,0,2.5,Portugal,Usar artesanato.,604,Portugal,Usar artesanato.,Portugal
Brazil,0,3,0,2.5,Brazil,Praias,604,Brazil,Praias,Brazil
France,0,3,0,2.5,France,Gastronomia,39,France,Gastronomia,France
Brazil,0,3,0,2.5,Brazil,Carnaval,604,Brazil,Carnaval,Brazil
Brazil,0,3,0,2.5,Mexico,Aztecas; artes; colores; diversidad; culinaria,604,Mexico,Aztecas; artes; colores; diversidad; culinaria,Mexico
France,0,3,0,2.5,France,Perfume,39,France,Perfume,France
Mexico,0,3,0,2.5,Mexico,En México beben pulque y festejan con el torito,38,Mexico,En México beben pulque y festejan con el torito,Mexico
Brazil,0,3,0,2.5,Chile,Comidas típicas ,604,Chile,Comidas típicas ,Chile
Brazil,0,3,0,2.5,Brazil,África ,604,Brazil,África ,Brazil
Brazil,0,3,0,2.5,Argentina,África ,604,Argentina,África ,Argentina
Brazil,0,3,0,2.5,Brazil,África ,604,Brazil,África ,Brazil
Brazil,0,3,0,2.5,Brazil,Usar artesanato. ,604,Brazil,Usar artesanato. ,Brazil
Brazil,0,3,0,2.5,Venezuela,Rica em cultura ,604,Venezuela,Rica em cultura ,Venezuela
Brazil,0,3,0,2.5,Argentina,Espanhol,604,Argentina,Espanhol,Argentina
Brazil,0,3,0,2.5,Argentina, Mafalda,604,Argentina, Mafalda,Argentina
Brazil,0,3,0,2.5,Argentina, futebol,604,Argentina, futebol,Argentina
Brazil,0,3,0,2.5,Argentina, alfajor,604,Argentina, alfajor,Argentina
Brazil,0,3,0,2.5,Brazil,futebol,604,Brazil,futebol,Brazil
Brazil,0,3,0,2.5,Brazil, danças típicas ,604,Brazil, danças típicas ,Brazil
Brazil,0,3,0,2.5,India,Religião,604,India,Religião,India
Brazil,0,3,0,2.5,Brazil,Carnaval,604,Brazil,Carnaval,Brazil
Brazil,0,3,0,2.5,Brazil,Violência ,604,Brazil,Violência ,Brazil
Brazil,0,3,0,2.5,Argentina,África ,604,Argentina,África ,Argentina
Brazil,0,3,0,2.5,Italy,Pizza,604,Italy,Pizza,Italy
Brazil,0,3,0,2.5,Brazil,Valorização da música nacional,604,Brazil,Valorização da música nacional,Brazil
Brazil,0,3,0,2.5,Brazil,gostar de festas,604,Brazil,gostar de festas,Brazil
Brazil,0,3,0,2.5,Brazil,Playa,604,Brazil,Playa,Brazil
Mexico,0,3,0,2.5,Mexico,En México bailan el jarabe tapatío,38,Mexico,En México bailan el jarabe tapatío,Mexico
Brazil,0,3,0,2.5,Brazil,Bossa nova,604,Brazil,Bossa nova,Brazil
Brazil,0,3,0,2.5,Nigeria,Cultura,604,Nigeria,Cultura,Nigeria
Brazil,0,3,0,2.5,Nigeria, pessoas boas,604,Nigeria, pessoas boas,Nigeria
Brazil,0,3,0,2.5,Australia,Fauna abundante,604,Australia,Fauna abundante,Australia
France,0,3,0,2.5,Ecuador,Moneda dollar,39,Ecuador,Moneda dollar,Ecuador
Brazil,0,3,0,2.5,Brazil,Soberano,604,Brazil,Soberano,Brazil
