source_country,non_stereotype,stereotype,unsure,mean_offensive_score,identity,attribute,row_count,translated_identity,translated_attribute_list,identity_country_name
Uruguay,0,3,0,2.5,Bolivia,poor,163,Bolivia,poor,Bolivia
Peru,0,3,0,2.5,Peru,delicious food,28,Peru,delicious food,Peru
Brazil,0,3,0,2.5,Peru,delicious food,100,Peru,delicious food,Peru
Cuba,0,3,0,2.5,El Salvador,Great prisons,43,El Salvador,Great prisons,El Salvador
Argentina,0,3,0,2.5,Cuba,revolution,12815,Cuba,revolution,Cuba
Argentina,0,3,0,2.5,Cuba,che guevara,12815,Cuba,che guevara,Cuba
Argentina,0,3,0,2.5,Cuba,comunism,12815,Cuba,comunism,Cuba
Argentina,0,3,0,2.5,Colombia,Inequality,12815,Colombia,Inequality,Colombia
Uruguay,0,3,0,2.5,Canada,Thankful,163,Canada,Thankful,Canada
Chile,0,3,0,2.5,Bolivia,Natives,108,Bolivia,Natives,Bolivia
Uruguay,0,3,0,2.5,Cuba,Block,163,Cuba,Block,Cuba
Uruguay,0,3,0,2.5,United States,Guns,163,United States,Guns,United States
Uruguay,0,3,0,2.5,United States,Fat,163,United States,Fat,United States
Uruguay,0,3,0,2.5,United States,Capitlaism,163,United States,Capitlaism,United States
Uruguay,0,3,0,2.5,United States,Expensive health,163,United States,Expensive health,United States
Chile,0,3,0,2.5,Cuba,Fidel Castro,108,Cuba,Fidel Castro,Cuba
Cuba,0,3,0,2.5,Dominican Republic,discrimination against Haitians,43,Dominican Republic,discrimination against Haitians,Dominican Republic
Argentina,0,3,0,2.5,Argentina,Mate  drink,12815,Argentina,Mate  drink,Argentina
Cuba,0,3,0,2.5,Cuba,People wants freedom,43,Cuba,People wants freedom,Cuba
Argentina,0,3,0,2.5,Uruguay,Stealing from other people's cultures,12815,Uruguay,Stealing from other people's cultures,Uruguay
Argentina,0,3,0,2.5,Argentina,liar,12815,Argentina,liar,Argentina
Argentina,0,3,0,2.5,Argentina,generous,12815,Argentina,generous,Argentina
Costa Rica,0,3,0,2.5,Mexico,spicy food,83,Mexico,spicy food,Mexico
Costa Rica,0,3,0,2.5,Mexico,delicious gastronomy,83,Mexico,delicious gastronomy,Mexico
Costa Rica,0,3,0,2.5,Mexico,native population,83,Mexico,native population,Mexico
Uruguay,0,3,0,2.5,Dominican Republic,helpful,163,Dominican Republic,helpful,Dominican Republic
Argentina,0,3,0,2.5,Saudi Arabia,Rich,12815,Saudi Arabia,Rich,Saudi Arabia
Uruguay,0,3,0,2.5,Uruguay,Mate,163,Uruguay,Mate,Uruguay
Uruguay,0,3,0,2.5,Uruguay,dulce de leche,163,Uruguay,dulce de leche,Uruguay
Uruguay,0,3,0,2.5,Uruguay,Gardel,163,Uruguay,Gardel,Uruguay
Argentina,0,3,0,2.5,Argentina,arrogant,12815,Argentina,arrogant,Argentina
Cuba,0,3,0,2.5,Cuba,Beautiful beaches,43,Cuba,Beautiful beaches,Cuba
Ecuador,0,3,0,2.5,Mexico,Tacos,70,Mexico,Tacos,Mexico
Ecuador,0,3,0,2.5,Mexico,water struggles,70,Mexico,water struggles,Mexico
Ecuador,0,3,0,2.5,Mexico,novelas,70,Mexico,novelas,Mexico
Argentina,0,3,0,2.5,Argentina,Diverse,12815,Argentina,Diverse,Argentina
Argentina,0,3,0,2.5,Argentina,play football,12815,Argentina,play football,Argentina
Argentina,0,3,0,2.5,Argentina,eat asado,12815,Argentina,eat asado,Argentina
Argentina,0,3,0,2.5,Cuba,low income,12815,Cuba,low income,Cuba
Argentina,0,3,0,2.5,Argentina,Big ego,12815,Argentina,Big ego,Argentina
Chile,0,3,0,2.5,Chile,Andes Mountains,108,Chile,Andes Mountains,Chile
Argentina,0,3,0,2.5,United States,war,12815,United States,war,United States
Argentina,0,3,0,2.5,United States,colonialism,12815,United States,colonialism,United States
Argentina,0,3,0,2.5,United States,progress,12815,United States,progress,United States
Argentina,0,3,0,2.5,United States,low education,12815,United States,low education,United States
Argentina,0,3,0,2.5,Argentina,scammer,12815,Argentina,scammer,Argentina
Argentina,0,3,0,2.5,Argentina,Beautiful,12815,Argentina,Beautiful,Argentina
Uruguay,0,3,0,2.5,United States,capitalism,163,United States,capitalism,United States
Uruguay,0,3,0,2.5,United States,guns,163,United States,guns,United States
Argentina,0,3,0,2.5,Argentina,Friendly,12815,Argentina,Friendly,Argentina
Chile,0,3,0,2.5,Brazil,language,108,Brazil,language,Brazil
Argentina,0,3,0,2.5,Argentina,Fight,12815,Argentina,Fight,Argentina
Chile,0,3,0,2.5,Chile,Tasty food,108,Chile,Tasty food,Chile
Brazil,0,3,0,2.5,Brazil,Resourceful,100,Brazil,Resourceful,Brazil
Argentina,0,3,0,2.5,Argentina,play football,12815,Argentina,play football,Argentina
Argentina,0,3,0,2.5,Argentina,eat asado,12815,Argentina,eat asado,Argentina
Argentina,0,3,0,2.5,Argentina,futbol,12815,Argentina,futbol,Argentina
Ecuador,0,3,0,2.5,Syria,War,70,Syria,War,Syria
Ecuador,0,3,0,2.5,Syria,explotation,70,Syria,explotation,Syria
Ecuador,0,3,0,2.5,Syria,colonialism,70,Syria,colonialism,Syria
Argentina,0,3,0,2.5,Argentina,futbol,12815,Argentina,futbol,Argentina
Argentina,0,3,0,2.5,Argentina,arrogant,12815,Argentina,arrogant,Argentina
Argentina,0,3,0,2.5,Colombia,narcotráfico,12815,Colombia,narcotráfico,Colombia
Argentina,0,3,0,2.5,Argentina,egocentric,12815,Argentina,egocentric,Argentina
Argentina,0,3,0,2.5,Argentina,Pedantic,12815,Argentina,Pedantic,Argentina
Argentina,0,3,0,2.5,Argentina,futbol,12815,Argentina,futbol,Argentina
Argentina,0,3,0,2.5,Argentina,asado,12815,Argentina,asado,Argentina
Peru,0,3,0,2.5,Peru,textil products,28,Peru,textil products,Peru
Brazil,0,3,0,2.5,Peru,textil products,100,Peru,textil products,Peru
Uruguay,0,3,0,2.5,Uruguay,nice people,163,Uruguay,nice people,Uruguay
Uruguay,0,3,0,2.5,Uruguay,Playas,163,Uruguay,Playas,Uruguay
Uruguay,0,3,0,2.5,Uruguay,vacas,163,Uruguay,vacas,Uruguay
Uruguay,0,3,0,2.5,Uruguay,campo,163,Uruguay,campo,Uruguay
Argentina,0,3,0,2.5,Argentina,drink mate,12815,Argentina,drink mate,Argentina
Cuba,0,3,0,2.5,Cuba,Comunism,43,Cuba,Comunism,Cuba
Argentina,0,3,0,2.5,Argentina,loud,12815,Argentina,loud,Argentina
Brazil,0,3,0,2.5,Brazil,Fun,100,Brazil,Fun,Brazil
Argentina,0,3,0,2.5,Argentina,mate,12815,Argentina,mate,Argentina
Argentina,0,3,0,2.5,Argentina,large,12815,Argentina,large,Argentina
Colombia,0,3,0,2.5,Colombia,diverse,66,Colombia,diverse,Colombia
Costa Rica,0,3,0,2.5,Colombia,diverse,83,Colombia,diverse,Colombia
Argentina,0,3,0,2.5,Argentina,futbol fan,12815,Argentina,futbol fan,Argentina
Argentina,0,3,0,2.5,Argentina,Charismatic,12815,Argentina,Charismatic,Argentina
Argentina,0,3,0,2.5,Argentina,noisy,12815,Argentina,noisy,Argentina
Argentina,0,3,0,2.5,Argentina,Tango dancers,12815,Argentina,Tango dancers,Argentina
Argentina,0,3,0,2.5,Argentina,Bad Humor,12815,Argentina,Bad Humor,Argentina
Chile,0,3,0,2.5,Chile,expensive,108,Chile,expensive,Chile
Argentina,0,3,0,2.5,Argentina,play football,12815,Argentina,play football,Argentina
Argentina,0,3,0,2.5,Argentina,eat asado,12815,Argentina,eat asado,Argentina
Argentina,0,3,0,2.5,Argentina,futbol,12815,Argentina,futbol,Argentina
Argentina,0,3,0,2.5,Argentina,asado,12815,Argentina,asado,Argentina
Argentina,0,3,0,2.5,Argentina,big ego,12815,Argentina,big ego,Argentina
Argentina,0,3,0,2.5,Argentina,tango,12815,Argentina,tango,Argentina
Argentina,0,3,0,2.5,Argentina,beef,12815,Argentina,beef,Argentina
Argentina,0,3,0,2.5,Argentina,instability,12815,Argentina,instability,Argentina
Argentina,0,3,0,2.5,Argentina,football,12815,Argentina,football,Argentina
Ecuador,0,3,0,2.5,Ecuador,Delicious food,70,Ecuador,Delicious food,Ecuador
Ecuador,0,3,0,2.5,Ecuador,beautiful places,70,Ecuador,beautiful places,Ecuador
Ecuador,0,3,0,2.5,Ecuador,bad government,70,Ecuador,bad government,Ecuador
Ecuador,0,3,0,2.5,Ecuador,insecurity,70,Ecuador,insecurity,Ecuador
Ecuador,0,3,0,2.5,Ecuador,Galapagos,70,Ecuador,Galapagos,Ecuador
Ecuador,0,3,0,2.5,Ecuador,high mountains,70,Ecuador,high mountains,Ecuador
