source_country,non_stereotype,stereotype,unsure,mean_offensive_score,identity,attribute,row_count,translated_identity,translated_attribute_list,identity_country_name
Argentina,0,3,0,2.5,Switzerland,Las mujeres de Cuba tienen el mismo color de piel que las de Brasil.,1030,Switzerland,Las mujeres de Cuba tienen el mismo color de piel que las de Brasil.,Switzerland
Argentina,0,3,0,2.5,Argentina,Fiesteros,1030,Argentina,Fiesteros,Argentina
Argentina,0,3,0,2.5,Mexico,Felicidad,1030,Mexico,Felicidad,Mexico
Peru,0,3,0,2.5,Peru,Economía,20,Peru,Economía,Peru
Argentina,0,3,0,2.5,Germany,severidad,1030,Germany,severidad,Germany
Argentina,0,3,0,2.5,Germany,autoritarismo,1030,Germany,autoritarismo,Germany
Argentina,0,3,0,2.5,Argentina,Chantas,1030,Argentina,Chantas,Argentina
Argentina,0,3,0,2.5,Argentina,Mate,1030,Argentina,Mate,Argentina
Argentina,0,3,0,2.5,Argentina,asado,1030,Argentina,asado,Argentina
Argentina,0,3,0,2.5,Argentina,empanadas,1030,Argentina,empanadas,Argentina
Argentina,0,3,0,2.5,Argentina,folklore,1030,Argentina,folklore,Argentina
Argentina,0,3,0,2.5,Argentina,tango,1030,Argentina,tango,Argentina
Argentina,0,3,0,2.5,Argentina,cumbia,1030,Argentina,cumbia,Argentina
Argentina,0,3,0,2.5,Italy,Cocina,1030,Italy,Cocina,Italy
Argentina,0,3,0,2.5,Italy,pastas,1030,Italy,pastas,Italy
Argentina,0,3,0,2.5,China,Comen perros,1030,China,Comen perros,China
Argentina,0,3,0,2.5,Argentina,tranquilidad,1030,Argentina,tranquilidad,Argentina
Argentina,0,3,0,2.5,Paraguay,Hace mucho calor,1030,Paraguay,Hace mucho calor,Paraguay
Argentina,0,3,0,2.5,Mexico,Festivo,1030,Mexico,Festivo,Mexico
Argentina,0,3,0,2.5,Germany,Rígidos,1030,Germany,Rígidos,Germany
Argentina,0,3,0,2.5,Australia,deporte,1030,Australia,deporte,Australia
Argentina,0,3,0,2.5,Monaco,Frío,1030,Monaco,Frío,Monaco
Argentina,0,3,0,2.5,Argentina,alegres,1030,Argentina,alegres,Argentina
Peru,0,3,0,2.5,Peru,Riqueza,20,Peru,Riqueza,Peru
Argentina,0,3,0,2.5,Russia,Alcoholismo,1030,Russia,Alcoholismo,Russia
Argentina,0,3,0,2.5,Uruguay,mentirosos,1030,Uruguay,mentirosos,Uruguay
Argentina,0,3,0,2.5,India,Inteligentes,1030,India,Inteligentes,India
Argentina,0,3,0,2.5,Argentina,Egolatra,1030,Argentina,Egolatra,Argentina
Argentina,0,3,0,2.5,Argentina,presumido,1030,Argentina,presumido,Argentina
Uruguay,0,3,0,2.5,Uruguay,Humilde,160,Uruguay,Humilde,Uruguay
Argentina,0,3,0,2.5,Iraq,fundamentalistas,1030,Iraq,fundamentalistas,Iraq
Argentina,0,3,0,2.5,Iraq,asesinos,1030,Iraq,asesinos,Iraq
Argentina,0,3,0,2.5,Argentina,fútbol,1030,Argentina,fútbol,Argentina
Argentina,0,3,0,2.5,Argentina,gloria,1030,Argentina,gloria,Argentina
Argentina,0,3,0,2.5,Switzerland,Sionismo,1030,Switzerland,Sionismo,Switzerland
Argentina,0,3,0,2.5,Colombia,Fiesteros,1030,Colombia,Fiesteros,Colombia
Argentina,0,3,0,2.5,Colombia,alegres,1030,Colombia,alegres,Colombia
Peru,0,3,0,2.5,Brazil,Fútbol,20,Brazil,Fútbol,Brazil
Argentina,0,3,0,2.5,Croatia,fríos,1030,Croatia,fríos,Croatia
Argentina,0,3,0,2.5,South Korea,Anime,1030,South Korea,Anime,South Korea
Argentina,0,3,0,2.5,South Korea,videojuegos,1030,South Korea,videojuegos,South Korea
Argentina,0,3,0,2.5,South Korea,respeto,1030,South Korea,respeto,South Korea
Argentina,0,3,0,2.5,Bolivia,trabajador,1030,Bolivia,trabajador,Bolivia
Argentina,0,3,0,2.5,Bolivia,verdulero,1030,Bolivia,verdulero,Bolivia
Argentina,0,3,0,2.5,Chile,orden,1030,Chile,orden,Chile
Uruguay,0,3,0,2.5,Central African Republic,pobreza,160,Central African Republic,pobreza,Central African Republic
Uruguay,0,3,0,2.5,Central African Republic,falta de agua,160,Central African Republic,falta de agua,Central African Republic
Uruguay,0,3,0,2.5,Central African Republic,sequía,160,Central African Republic,sequía,Central African Republic
Uruguay,0,3,0,2.5,Central African Republic,piel negra,160,Central African Republic,piel negra,Central African Republic
Uruguay,0,3,0,2.5,Central African Republic,mucho Sol,160,Central African Republic,mucho Sol,Central African Republic
Uruguay,0,3,0,2.5,Central African Republic,safari,160,Central African Republic,safari,Central African Republic
Chile,0,3,0,2.5,Brazil,fiesta,44,Brazil,fiesta,Brazil
Argentina,0,3,0,2.5,Argentina,quilombero,1030,Argentina,quilombero,Argentina
Argentina,0,3,0,2.5,Argentina,solidarios,1030,Argentina,solidarios,Argentina
Argentina,0,3,0,2.5,Argentina,talentosos,1030,Argentina,talentosos,Argentina
Argentina,0,3,0,2.5,Argentina,audaces,1030,Argentina,audaces,Argentina
Argentina,0,3,0,2.5,Argentina,simpáticos,1030,Argentina,simpáticos,Argentina
Argentina,0,3,0,2.5,Argentina,orgullosos,1030,Argentina,orgullosos,Argentina
Argentina,0,3,0,2.5,Argentina,creídos,1030,Argentina,creídos,Argentina
Argentina,0,3,0,2.5,Italy,La buena comida,1030,Italy,La buena comida,Italy
Uruguay,0,3,0,2.5,Brazil,Pobreza,160,Brazil,Pobreza,Brazil
Argentina,0,3,0,2.5,Argentina,fernet,1030,Argentina,fernet,Argentina
Argentina,0,3,0,2.5,Uruguay,Humildad,1030,Uruguay,Humildad,Uruguay
Argentina,0,3,0,2.5,Egypt,Antiguo,1030,Egypt,Antiguo,Egypt
Argentina,0,3,0,2.5,Cuba,Pobreza,1030,Cuba,Pobreza,Cuba
Chile,0,3,0,2.5,Chile,Creativos,44,Chile,Creativos,Chile
Argentina,0,3,0,2.5,Brazil,Alegres,1030,Brazil,Alegres,Brazil
France,0,3,0,2.5,Switzerland,racista,22,Switzerland,racista,Switzerland
France,0,3,0,2.5,Switzerland,chocolate,22,Switzerland,chocolate,Switzerland
France,0,3,0,2.5,Switzerland,reloj,22,Switzerland,reloj,Switzerland
France,0,3,0,2.5,Switzerland,ricos (con plata),22,Switzerland,ricos (con plata),Switzerland
Argentina,0,3,0,2.5,Peru,Musica,1030,Peru,Musica,Peru
Argentina,0,3,0,2.5,Peru,cultura,1030,Peru,cultura,Peru
Argentina,0,3,0,2.5,Peru,baile,1030,Peru,baile,Peru
Argentina,0,3,0,2.5,Argentina,Futbol,1030,Argentina,Futbol,Argentina
Argentina,0,3,0,2.5,Qatar,Religión,1030,Qatar,Religión,Qatar
Argentina,0,3,0,2.5,Uruguay,Depresión,1030,Uruguay,Depresión,Uruguay
Argentina,0,3,0,2.5,Uruguay,Suicidio,1030,Uruguay,Suicidio,Uruguay
Argentina,0,3,0,2.5,Uruguay,Tranquilidad,1030,Uruguay,Tranquilidad,Uruguay
Argentina,0,3,0,2.5,Uruguay,Lentitud,1030,Uruguay,Lentitud,Uruguay
Argentina,0,3,0,2.5,Austria,salchichas,1030,Austria,salchichas,Austria
Argentina,0,3,0,2.5,Austria,cerveza,1030,Austria,cerveza,Austria
Argentina,0,3,0,2.5,Argentina,Intensos,1030,Argentina,Intensos,Argentina
Argentina,0,3,0,2.5,Argentina,confianzudos,1030,Argentina,confianzudos,Argentina
Argentina,0,3,0,2.5,Bolivia,Tranquilidad,1030,Bolivia,Tranquilidad,Bolivia
Argentina,0,3,0,2.5,Bolivia,Pobreza,1030,Bolivia,Pobreza,Bolivia
Argentina,0,3,0,2.5,Bolivia,Empleo  doméstico,1030,Bolivia,Empleo  doméstico,Bolivia
Argentina,0,3,0,2.5,Bolivia,Indígena,1030,Bolivia,Indígena,Bolivia
