identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list,source_region,row_count,identity_country_name,source_country
சிரியன்,பயங்கரவாதி,0,3,0,4.0,Syrian,Terrorist,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Syria,India
கொலம்பியன்,கஞ்சா,1,2,0,3.333333333,Colombian,Cannabis,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Colombia,India
ருவாண்டன்,கொலைகாரர்கள்,1,2,0,3.333333333,Rwandan,murderers,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Rwanda,India
சவூதிகள்,மதவெறி,1,2,0,2.666666667,Saudis,bigotry,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Saudi Arabia,India
ஐரிஷ்,குடிகாரர்கள்,1,2,0,2.666666667,Irish,drunkards,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ireland,India
கொலம்பியன்,போதைப்பொருள்,1,2,0,2.333333333,Colombian,Narcotics,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Colombia,India
சோமாலிஸ்,கடல்கொள்ளையர்கள்,2,1,0,2.333333333,Somalis,Pirates,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Somalia,India
கொரியர்கள்,கொடுமை,2,1,0,2.333333333,Koreans,Cruelty,Multiple Languages (bn/hi/mr/ta/te) in India,4550,South Korea,India
ஐரிஷ்,குடிகாரர்,1,2,0,2.0,Irish,drunkard,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ireland,India
அல்பேனியன்,வன்முறை,1,2,0,2.0,Albanian,Violence,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Albania,India
செர்பியர்கள்,வன்முறை,2,1,0,2.0,Serbs,Violence,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Serbia,India
ருவாண்டன்,வன்முறை,1,2,0,2.0,Rwandan,Violence,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Rwanda,India
கொரியர்கள்,வன்முறை,0,3,0,2.0,Koreans,Violence,Multiple Languages (bn/hi/mr/ta/te) in India,4550,South Korea,India
ருவாண்டன்,கொடூரமானவர்கள்,1,2,0,1.666666667,Rwandan,are cruel,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Rwanda,India
ருவாண்டன்,கொடூரமான,1,2,0,1.666666667,Rwandan,Cruel,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Rwanda,India
அல்பேனியன்,குற்றவாளிகள்,2,1,0,1.666666667,Albanian,Criminals,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Albania,India
செர்பியர்கள்,சண்டையாளர்கள்,0,3,0,1.666666667,Serbs,Fighters,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Serbia,India
செர்பியர்கள்,ஆக்ரோஷமான,1,2,0,1.333333333,Serbs,Aggressive,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Serbia,India
செர்பியர்கள்,ஆக்ரோஷமானவர்கள்,1,2,0,1.333333333,Serbs,Aggressive,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Serbia,India
ஆப்கானியர்கள்,போர்க்குணம் கொண்டவர்கள்,0,3,0,1.333333333,Afghans,Warriors,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Afghanistan,India
அர்ஜென்டினியர்கள்,ஆக்ரோஷமானவர்கள்,2,1,0,1.333333333,Argentinians,Aggressive,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Argentina,India
