source_country,non_stereotype,stereotype,unsure,mean_offensive_score,identity,attribute,row_count,translated_identity,translated_attribute_list,identity_country_name
Argentina,0,3,0,2.5,Bolivia,pobres,121,Bolivia,pobres,Bolivia
Argentina,0,3,0,2.5,Bolivia, incultos,121,Bolivia, incultos,Bolivia
Argentina,0,3,0,2.5,Argentina,vacas,121,Argentina,vacas,Argentina
Argentina,0,3,0,2.5,Bolivia,usar ropa colorida,121,Bolivia,usar ropa colorida,Bolivia
Argentina,0,3,0,2.5,Germany,testattr,121,Germany,testattr,Germany
Argentina,0,3,0,2.5,Greece,testport,121,Greece,testport,Greece
Andorra,0,3,0,2.5,China,sucios,4,China,sucios,China
Andorra,0,3,0,2.5,Peru,comida muy rica,4,Peru,comida muy rica,Peru
Argentina,0,3,0,2.5,Peru,friendly,121,Peru,friendly,Peru
Argentina,0,3,0,2.5,Australia,,121,Australia,,Australia
Argentina,0,3,0,2.5,Australia,mvxd,121,Australia,mvxd,Australia
Argentina,0,3,0,2.5,Australia,m,121,Australia,m,Australia
Chile,0,3,0,2.5,Argentina,Fetnet,405,Argentina,Fetnet,Argentina
Argentina,0,3,0,2.5,Argentina,Fetnet,121,Argentina,Fetnet,Argentina
Chile,0,3,0,2.5,China,Productos baratos,405,China,Productos baratos,China
Argentina,0,3,0,2.5,China,Productos baratos,121,China,Productos baratos,China
Chile,0,3,0,2.5,Peru,Pisco ,405,Peru,Pisco ,Peru
Argentina,0,3,0,2.5,Peru,Pisco ,121,Peru,Pisco ,Peru
Chile,0,3,0,2.5,Australia,Koalas,405,Australia,Koalas,Australia
Chile,0,3,0,2.5,Australia, work and holiday ,405,Australia, work and holiday ,Australia
Argentina,0,3,0,2.5,Australia,Koalas,121,Australia,Koalas,Australia
Argentina,0,3,0,2.5,Australia, work and holiday ,121,Australia, work and holiday ,Australia
Chile,0,3,0,2.5,China,Manofactura,405,China,Manofactura,China
Argentina,0,3,0,2.5,China,Manofactura,121,China,Manofactura,China
Chile,0,3,0,2.5,Argentina,Universidad publica de calidad ,405,Argentina,Universidad publica de calidad ,Argentina
Argentina,0,3,0,2.5,Argentina,Universidad publica de calidad ,121,Argentina,Universidad publica de calidad ,Argentina
Chile,0,3,0,2.5,France,Usan perfume,405,France,Usan perfume,France
Argentina,0,3,0,2.5,France,Usan perfume,121,France,Usan perfume,France
Chile,0,3,0,2.5,Bolivia,Callados ,405,Bolivia,Callados ,Bolivia
Argentina,0,3,0,2.5,Bolivia,Callados ,121,Bolivia,Callados ,Bolivia
Chile,0,3,0,2.5,Germany,Son puntuales,405,Germany,Son puntuales,Germany
Argentina,0,3,0,2.5,Germany,Son puntuales,121,Germany,Son puntuales,Germany
Chile,0,3,0,2.5,Uruguay,Mate,405,Uruguay,Mate,Uruguay
Argentina,0,3,0,2.5,Uruguay,Mate,121,Uruguay,Mate,Uruguay
Chile,0,3,0,2.5,Argentina,Mate,405,Argentina,Mate,Argentina
Argentina,0,3,0,2.5,Argentina,Mate,121,Argentina,Mate,Argentina
Chile,0,3,0,2.5,United States,Capitalismo ,405,United States,Capitalismo ,United States
Argentina,0,3,0,2.5,United States,Capitalismo ,121,United States,Capitalismo ,United States
Chile,0,3,0,2.5,United States,Imperialismo,405,United States,Imperialismo,United States
Argentina,0,3,0,2.5,United States,Imperialismo,121,United States,Imperialismo,United States
